"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Snakeskin Veil","G","C","369870","4.90","76932","6.65","397551","84.6%","56.0%","63697","56.5%","92591","57.6%","156288","57.1%","240236","55.2%","1.9pp"
"Spinewoods Armadillo","G","U","66793","2.33","32124","2.57","188666","94.7%","57.0%","32961","59.7%","45414","60.9%","78375","60.4%","109459","54.6%","5.8pp"
"Spinewoods Paladin","G","C","292215","3.80","76211","4.92","435987","93.4%","55.8%","72739","55.7%","104864","58.0%","177603","57.1%","257822","54.9%","2.1pp"
"Stubborn Burrowfiend","G","U","96446","3.22","35398","3.75","201587","92.0%","56.6%","36519","59.4%","46122","56.6%","82641","57.8%","117476","55.7%","2.2pp"
"Throw from the Saddle","G","C","245609","3.33","84608","3.97","488454","93.4%","56.6%","81436","57.4%","115928","59.8%","197364","58.8%","289641","55.1%","3.7pp"
"Trash the Town","G","U","105543","3.44","30653","4.21","168771","89.5%","56.4%","27461","56.2%","39603","59.6%","67064","58.2%","101237","55.1%","3.1pp"
"Tumbleweed Rising","G","C","426056","6.06","65191","8.67","205966","51.9%","55.3%","33340","55.0%","47686","56.2%","81026","55.7%","124577","55.0%","0.7pp"
"Voracious Varmint","G","C","401578","5.30","68189","7.60","324800","78.3%","55.0%","56648","54.9%","73938","54.6%","130586","54.7%","193503","55.2%","-0.5pp"
"Akul the Unrepentant","BR","R","42466","3.46","8269","4.21","31281","65.3%","51.5%","5027","52.4%","7746","54.7%","12773","53.8%","18439","49.9%","3.9pp"
"Annie Flash, the Veteran","WRG","M","12742","2.23","6121","2.21","32033","85.9%","56.0%","5175","57.0%","7559","61.1%","12734","59.4%","19133","53.6%","5.9pp"
"Annie Joins Up","WRG","R","67453","5.09","9751","7.39","21416","36.6%","53.5%","3451","52.4%","4886","53.8%","8337","53.2%","13055","53.6%","-0.4pp"
"Assimilation Aegis","WU","M","15011","2.55","5872","2.65","26954","77.5%","53.5%","4526","54.0%","7156","58.3%","11682","56.6%","15172","50.9%","5.7pp"
"At Knifepoint","BR","U","139946","5.07","21884","6.82","77566","61.4%","50.3%","13062","49.9%","19420","50.9%","32482","50.5%","44870","50.0%","0.5pp"
"Badlands Revival","BG","U","123714","4.18","33310","5.16","157044","78.3%","54.7%","24690","52.3%","39629","58.6%","64319","56.2%","91924","53.5%","2.7pp"
"Baron Bertram Graywater","WB","U","144080","5.04","24240","6.91","85005","59.0%","52.8%","13819","50.9%","21689","55.7%","35508","53.8%","49532","52.1%","1.7pp"
"Bonny Pall, Clearcutter","UG","R","18508","1.63","13848","1.57","80488","92.7%","57.5%","13506","64.0%","21474","67.6%","34980","66.2%","44328","50.1%","16.1pp"
"Breeches, the Blastmaker","UR","R","61430","4.86","8722","6.92","17145","33.9%","48.6%","2857","48.7%","4646","50.3%","7503","49.7%","9626","47.8%","1.9pp"
"Bruse Tarl, Roving Rancher","WR","R","25094","2.14","13281","2.13","72993","89.1%","56.4%","12590","60.5%","17389","61.4%","29979","61.1%","42817","53.1%","8.0pp"
"Cactusfolk Sureshot","RG","U","116359","3.99","24737","5.07","115008","76.6%","55.5%","19030","58.0%","26201","57.1%","45231","57.4%","69672","54.2%","3.3pp"
